epoch	step	fid	feature	size	n_gen
750	102750	166.4336	2048	256	128
800	109600	171.5793	2048	256	128
850	116450	172.3952	2048	256	128
900	123300	170.9600	2048	256	128
950	130150	169.8025	2048	256	128
1000	137000	167.4638	2048	256	128
150	20550	172.7947	2048	256	128
200	27400	166.6240	2048	256	128
250	34250	164.4245	2048	256	128
300	41100	162.0072	2048	256	128
350	47950	160.7037	2048	256	128
400	54800	159.9091	2048	256	128
450	61650	159.3920	2048	256	128
500	68500	158.5312	2048	256	128
550	75350	157.5715	2048	256	128
600	82200	156.8026	2048	256	128
650	89050	156.7296	2048	256	128
700	95900	156.8468	2048	256	128
